direction,rank,bait,prey,mssEffect,r_DMSO,r_Vorino,delta_r,concordant
up/gained,26,PPP1CA,TP53BP2,up,0.15017558296873268,0.17511008167709144,0.02493449870835876,True
up/gained,27,YWHAG,C1orf116,up,0.17618845349210197,0.19946313855529338,0.023274685063191414,True
up/gained,28,AURKB,CCN1,up,0.11546849953751909,0.13867395379154085,0.023205454254021762,True
up/gained,29,PPP1CC,EPPK1,up,0.15320819369828112,0.17246072857727207,0.01925253487899095,True
up/gained,30,BARD1,CITED2,up,0.22343357366186942,0.24192957546792046,0.018496001806051043,True
up/gained,31,MSL1,EPS15,up,0.10894280733393073,0.12643641583230997,0.017493608498379234,True
up/gained,32,YWHAE,WDR7,up,0.18622506702039382,0.20185876366480543,0.01563369664441161,True
up/gained,33,HDAC3,CCN1,up,0.17089573652611575,0.18572139208438396,0.014825655558268203,True
up/gained,34,YWHAE,GIT1,up,0.20426628214693895,0.2149431938828932,0.010676911735954253,True
up/gained,35,SMARCA4,AP2M1,up,0.21129267216932038,0.22021692972516094,0.008924257555840559,True
up/gained,36,PIM1,GPRC5A,up,0.13750447501189314,0.1439339832469102,0.006429508235017062,True
up/gained,37,HDAC3,CITED2,up,0.17880905783134632,0.1766324918127087,-0.00217656601863761,False
up/gained,38,AURKB,FBXO46,up,0.1167449166375425,0.11324488550886445,-0.003500031128678041,False
up/gained,39,MSL1,HIP1,up,0.08456464174405594,0.07220963692806324,-0.012355004815992693,False
up/gained,40,YWHAE,CDR2L,gained,0.18712815240191702,0.1718059583152978,-0.015322194086619223,False
up/gained,41,YWHAQ,PFKFB2,up,0.1279737018019816,0.10619310228787777,-0.021780599514103813,False
up/gained,42,PPP1CA,PPP1R13L,up,0.19203803584189885,0.16659877810689414,-0.025439257735004717,False
up/gained,43,SMARCA4,EPS15,up,0.1729974165513124,0.14521959547703572,-0.027777821074276676,False
up/gained,44,BARD1,FXR2,up,0.21703276125491242,0.17152961826065444,-0.04550314299425798,False
up/gained,45,PRMT1,MYCN,gained,0.15547358216985532,0.09435732276175275,-0.06111625940810257,False
up/gained,46,SMARCA4,GNAI2,up,0.23567500668699337,0.1742146197218887,-0.06146038696510467,False
