GeneInteraction,bait,prey,mssEffect,mss_direction,J_up_DMSO,J_up_Vorino,J_down_DMSO,J_down_Vorino,deltaJ_up,deltaJ_down,concordant_up,concordant_down,bait_in_DMSO,prey_in_DMSO,bait_in_Vorino,prey_in_Vorino
MORF4L1_MRGBP,MORF4L1,MRGBP,down,decrease,0.0,0.014492753623188406,0.018867924528301886,0.02857142857142857,0.014492753623188406,0.009703504043126684,False,False,True,True,True,True
MSL1_EPS15,MSL1,EPS15,up,increase,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,True
MSL1_HIP1,MSL1,HIP1,up,increase,0.0125,0.0,0.03278688524590164,0.0,-0.0125,-0.03278688524590164,False,False,True,True,True,True
MSL1_KAT8,MSL1,KAT8,down,decrease,0.03816793893129771,0.0,0.013888888888888888,0.027777777777777776,-0.03816793893129771,0.013888888888888888,True,False,True,True,True,True
MSL1_MSL2,MSL1,MSL2,down,decrease,0.025210084033613446,0.041666666666666664,0.0975609756097561,0.0,0.01645658263305322,-0.0975609756097561,False,True,True,True,True,True
MSL1_MSL3,MSL1,MSL3,down,decrease,0.014925373134328358,0.047619047619047616,0.0,0.0,0.03269367448471926,0.0,False,False,True,True,True,True
PIM1_CALCOCO1,PIM1,CALCOCO1,gained,increase,0.0,0.045454545454545456,0.05263157894736842,0.0,0.045454545454545456,-0.05263157894736842,True,False,True,True,True,True
PIM1_GATAD2B,PIM1,GATAD2B,down,decrease,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,False,False,True,True,True,True
PIM1_GPRC5A,PIM1,GPRC5A,up,increase,0.018867924528301886,0.04054054054054054,0.0,0.0,0.021672616012238657,0.0,True,False,True,True,True,True
PIM1_MBD3,PIM1,MBD3,down,decrease,0.04878048780487805,0.039473684210526314,0.0,0.0625,-0.009306803594351737,0.0625,True,False,True,True,True,True
PIM1_MTA1,PIM1,MTA1,down,decrease,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,False,False,True,True,True,True
PIM1_RBBP4,PIM1,RBBP4,down,decrease,0.03125,0.022988505747126436,0.0,0.016666666666666666,-0.008261494252873564,0.016666666666666666,True,False,True,True,True,True
